boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
13;22;31;11;21;6
46;8;2;19;29;2
4;7;12;24;25;2
22;27;13;10;49;4
4;28;42;49;35;7
43;13;21;5;6;4
37;43;45;28;38;3
7;24;36;6;47;10
21;36;22;20;44;10
24;44;46;42;7;2
22;6;46;7;17;3
1;28;3;29;8;6
42;5;34;21;37;10
24;40;5;31;22;9
27;25;6;37;32;9
3;28;15;4;2;5
31;8;47;11;17;6
36;18;38;31;29;10
38;31;8;37;30;1
43;3;38;42;46;1
37;18;8;44;46;2
43;36;3;32;45;2
33;48;13;2;19;2
8;44;6;48;31;9
4;28;48;8;15;1
37;24;38;13;45;6
1;16;6;3;40;1
44;21;25;18;47;10
3;44;46;27;14;6
22;23;35;46;3;9
40;12;47;21;19;7
9;2;5;29;10;1
16;33;41;2;24;8
6;28;34;7;11;8
45;16;6;37;25;9
33;34;25;3;26;6
25;3;13;32;47;9
32;4;36;44;9;3
20;1;22;5;42;6
11;44;47;29;7;9
9;2;45;19;7;10
28;17;41;3;23;3
23;42;3;17;47;4
7;31;29;24;47;3
19;11;22;36;9;1
44;12;13;17;27;10
41;35;40;6;24;6
36;48;46;41;8;6
44;8;11;48;37;6
27;25;5;34;38;7
4;15;10;49;12;6
2;34;41;32;8;6
41;12;26;42;36;7
45;31;6;49;39;4
49;17;36;44;27;1
38;37;17;34;30;1
27;25;20;23;47;6
43;14;26;7;11;7
9;35;15;8;4;8
35;19;9;16;43;4
32;22;2;12;15;8
17;1;38;2;45;2
2;27;24;35;22;5
41;28;18;13;38;1
16;11;18;8;10;5
22;38;28;37;9;10
15;6;34;39;24;4
42;18;14;4;27;3
45;18;46;3;30;3
29;38;33;15;41;2
47;22;19;4;10;8
26;42;33;20;34;9
24;8;38;19;40;10
11;22;3;13;30;8
38;8;41;49;19;7
4;14;21;47;8;9
4;29;42;43;11;10
47;18;41;10;19;2
3;37;26;15;24;7
21;36;19;39;49;5
34;31;35;41;29;8
13;22;17;6;12;7
13;17;31;28;9;10
44;13;29;15;33;4
19;10;9;29;5;8
44;42;15;9;47;10
17;31;26;37;21;10
1;18;45;17;21;9
17;5;33;9;37;4
27;44;25;23;6;6
13;31;49;7;3;5
1;19;13;24;48;5
21;11;22;40;32;9
5;43;10;48;25;10
44;20;14;22;36;2
32;42;30;17;41;5
33;46;8;17;1;5
49;12;27;11;7;1
41;21;32;47;11;9
31;39;30;49;19;8
5;27;7;24;41;10
36;20;13;31;38;1
41;34;42;22;1;5
31;3;40;35;2;7
5;3;39;31;38;9
10;31;36;37;44;5
30;29;49;23;10;5
21;6;41;17;16;9
47;48;13;34;2;6
14;31;9;45;23;6
47;17;48;39;24;7
45;27;48;4;38;4
34;20;14;35;9;1
23;14;40;46;27;1
28;9;26;29;18;3
9;25;2;47;35;10
1;26;14;31;10;4
15;20;12;6;1;1
49;17;44;5;46;4
28;11;14;43;41;8
7;47;16;33;42;7
40;26;17;24;43;9
15;17;10;37;16;9
26;18;41;38;5;10
45;5;48;42;30;9
29;10;16;14;9;1
42;43;38;33;31;3
22;35;9;28;13;5
25;43;30;2;19;9
33;7;8;12;22;5
8;25;4;12;45;2
35;48;33;21;15;1
7;35;48;28;25;1
28;23;24;9;20;4
19;42;32;26;39;6
18;7;21;42;11;3
48;26;31;47;42;8
17;30;6;49;19;2
